BoxName - Position(x,y,z) - BoxSize(width,height,depth)
NorthWall,0.0,250.0,4.0,502.0,8.0,2.0
SouthWall,0.0,-250.0,4.0,502.0,8.0,2.0
EastWall,250.0,0.0,4.0,2.0,8.0,500.0
WestWall,-250.0,0.0,4.0,2.0,8.0,500.0
N-box1-right,0.0,40.0,2.5,85.0,5.0,5.0
N-box2-right,0.0,165.0,2.5,5.0,5.0,170.0
N-box3-right,0.0,80.0,2.5,125.0,5.0,5.0
E-box1-top,-60.0,0.0,2.5,5.0,5.0,125.0
E-box2-top,-155.0,0.0,2.5,190.0,5.0,5.0
S-box1-right,0.0,-40.0,2.5,85.0,5.0,5.0
S-box2-right,0.0,-165.0,2.5,5.0,5.0,170.0
S-box3-right,0.0,-80.0,2.5,125.0,5.0,5.0
W-box1-top,60.0,0.0,2.5,5.0,5.0,125.0
W-box2-top,155.0,0.0,2.5,190.0,5.0,5.0
NE-box1,-40.0,25.0,2.5,5.0,5.0,30.0
NE-box2,-35.0,60.0,2.5,50.0,5.0,5.0
NE-box3,-170.0,220.0,2.5,105.0,5.0,5.0
NE-box4,-60.0,220.0,2.5,85.0,5.0,5.0
NE-box5,-120.0,200.0,2.5,165.0,5.0,5.0
NE-box6,-120.0,180.0,2.5,125.0,5.0,5.0
NE-box7,-110.0,140.0,2.5,105.0,5.0,5.0
NE-box8,-110.0,120.0,2.5,145.0,5.0,5.0
NE-box9,-140.0,100.0,2.5,85.0,5.0,5.0
NE-box10,-140.0,80.0,2.5,85.0,5.0,5.0
NE-box11,-140.0,60.0,2.5,85.0,5.0,5.0
NE-box12,-140.0,40.0,2.5,125.0,5.0,5.0
NE-box13,-150.0,20.0,2.5,145.0,5.0,5.0
NE-box14,-50.0,100.0,2.5,65.0,5.0,5.0
NE-box15,-220.0,120.0,2.5,5.0,5.0,200.0
NE-box16,-200.0,120.0,2.5,5.0,5.0,160.0
NE-box17,-180.0,150.0,2.5,5.0,5.0,60.0
NE-box18,-80.0,70.0,2.5,5.0,5.0,60.0
NE-box19,-60.0,160.0,2.5,5.0,5.0,40.0
NE-box20,-40.0,160.0,2.5,5.0,5.0,80.0
NE-box21,-20.0,160.0,2.5,5.0,5.0,120.0
NW-box1,40.0,25.0,2.5,5.0,5.0,30.0
NW-box2,35.0,60.0,2.5,50.0,5.0,5.0
NW-box3,170.0,220.0,2.5,105.0,5.0,5.0
NW-box4,60.0,220.0,2.5,85.0,5.0,5.0
NW-box5,120.0,200.0,2.5,165.0,5.0,5.0
NW-box6,120.0,180.0,2.5,125.0,5.0,5.0
NW-box7,110.0,140.0,2.5,105.0,5.0,5.0
NW-box8,110.0,120.0,2.5,145.0,5.0,5.0
NW-box9,140.0,100.0,2.5,85.0,5.0,5.0
NW-box10,140.0,80.0,2.5,85.0,5.0,5.0
NW-box11,140.0,60.0,2.5,85.0,5.0,5.0
NW-box12,140.0,40.0,2.5,125.0,5.0,5.0
NW-box13,150.0,20.0,2.5,145.0,5.0,5.0
NW-box14,50.0,100.0,2.5,65.0,5.0,5.0
NW-box15,220.0,120.0,2.5,5.0,5.0,200.0
NW-box16,200.0,120.0,2.5,5.0,5.0,160.0
NW-box17,180.0,150.0,2.5,5.0,5.0,60.0
NW-box18,80.0,70.0,2.5,5.0,5.0,60.0
NW-box19,60.0,160.0,2.5,5.0,5.0,40.0
NW-box20,40.0,160.0,2.5,5.0,5.0,80.0
NW-box21,20.0,160.0,2.5,5.0,5.0,120.0
SE-box1,-40.0,-25.0,2.5,5.0,5.0,30.0
SE-box2,-35.0,-60.0,2.5,50.0,5.0,5.0
SE-box3,-160.0,-20.0,2.5,165.0,5.0,5.0
SE-box4,-160.0,-40.0,2.5,125.0,5.0,5.0
SE-box5,-160.0,-60.0,2.5,85.0,5.0,5.0
SE-box6,-110.0,-180.0,2.5,105.0,5.0,5.0
SE-box7,-130.0,-220.0,2.5,185.0,5.0,5.0
SE-box8,-70.0,-120.0,2.5,65.0,5.0,5.0
SE-box9,-50.0,-100.0,2.5,65.0,5.0,5.0
SE-box10,-80.0,-60.0,2.5,5.0,5.0,80.0
SE-box11,-100.0,-80.0,2.5,5.0,5.0,80.0
SE-box12,-160.0,-120.0,2.5,5.0,5.0,120.0
SE-box13,-220.0,-140.0,2.5,5.0,5.0,160.0
SE-box14,-60.0,-170.0,2.5,5.0,5.0,60.0
SE-box15,-20.0,-180.0,2.5,5.0,5.0,120.0
SW-box1,40.0,-25.0,2.5,5.0,5.0,30.0
SW-box2,35.0,-60.0,2.5,50.0,5.0,5.0
SW-box3,160.0,-20.0,2.5,165.0,5.0,5.0
SW-box4,160.0,-40.0,2.5,125.0,5.0,5.0
SW-box5,160.0,-60.0,2.5,85.0,5.0,5.0
SW-box6,110.0,-180.0,2.5,105.0,5.0,5.0
SW-box7,130.0,-220.0,2.5,185.0,5.0,5.0
SW-box8,70.0,-120.0,2.5,65.0,5.0,5.0
SW-box9,50.0,-100.0,2.5,65.0,5.0,5.0
SW-box10,80.0,-60.0,2.5,5.0,5.0,80.0
SW-box11,100.0,-80.0,2.5,5.0,5.0,80.0
SW-box12,160.0,-120.0,2.5,5.0,5.0,120.0
SW-box13,220.0,-140.0,2.5,5.0,5.0,160.0
SW-box14,60.0,-170.0,2.5,5.0,5.0,60.0
SW-box15,20.0,-180.0,2.5,5.0,5.0,120.0
